trun,r,c,rr,cc,value,scenario
2027,east,ksa,sout,ksa,23.75578955395129,D
2027,east,ksa,west,ksa,7905.212121054004,D
2027,east,ksa,cent,ksa,28.844011918899763,D
2027,east,ksa,adwe,uae,0.41541936629539766,D
2027,east,ksa,qatr,qat,1.400368690008425,D
2027,east,ksa,kuwr,kuw,11.680000000000728,D
2027,east,ksa,bahr,bah,4.211188165574396,D
2027,adwe,uae,east,ksa,11.262847856555236,D
2027,adwe,uae,dewa,uae,66.41175933235934,D
2027,adwe,uae,sewa,uae,42.91072101417848,D
2027,dewa,uae,adwe,uae,38.62465425435171,D
2027,dewa,uae,sewa,uae,11.825173706326353,D
2027,dewa,uae,fewa,uae,8.628082250290527,D
2027,sewa,uae,adwe,uae,31.274259859279482,D
2027,sewa,uae,dewa,uae,9.71362720980206,D
2027,sewa,uae,fewa,uae,13.002912134013938,D
2027,sewa,uae,omnr,omn,0.5847002445064969,D
2027,fewa,uae,dewa,uae,1.974290225483859,D
2027,fewa,uae,sewa,uae,6.174474187954663,D
2027,qatr,qat,east,ksa,10.038560160767998,D
2027,bahr,bah,east,ksa,1.4762490625428704,D
2027,omnr,omn,sewa,uae,3.273893411109044,D
2028,sout,ksa,west,ksa,9.72400112132047,D
2028,sout,ksa,cent,ksa,5.791933345150064,D
2028,sout,ksa,east,ksa,41.400272943753485,D
2028,west,ksa,sout,ksa,73.54002175049878,D
2028,west,ksa,cent,ksa,7.461538520338476,D
2028,west,ksa,east,ksa,8165.144949169955,D
2028,cent,ksa,sout,ksa,9.611095543373361,D
2028,cent,ksa,west,ksa,11.602133258180753,D
2028,cent,ksa,east,ksa,46.0367819669347,D
2028,east,ksa,sout,ksa,6.973962395305731,D
2028,east,ksa,west,ksa,8210.574746862672,D
2028,east,ksa,cent,ksa,17.940915349474583,D
2028,east,ksa,adwe,uae,0.8968780835523036,D
2028,east,ksa,qatr,qat,1.3486034694322757,D
2028,east,ksa,kuwr,kuw,11.679999999999994,D
2028,east,ksa,bahr,bah,1.1709110233524778,D
2028,adwe,uae,east,ksa,10.724547563049166,D
2028,adwe,uae,dewa,uae,66.32269192273745,D
2028,adwe,uae,sewa,uae,41.883388947536716,D
2028,dewa,uae,adwe,uae,38.71855734132309,D
2028,dewa,uae,sewa,uae,11.848872687794358,D
2028,dewa,uae,fewa,uae,9.50700359008387,D
2028,sewa,uae,adwe,uae,31.96564167233856,D
2028,sewa,uae,dewa,uae,10.677799465667597,D
2028,sewa,uae,fewa,uae,11.800200587705056,D
2028,sewa,uae,omnr,omn,0.36338196416533713,D
2028,fewa,uae,dewa,uae,2.082972220730281,D
2028,fewa,uae,sewa,uae,6.120438416283822,D
2028,qatr,qat,east,ksa,10.077963716657123,D
2028,bahr,bah,east,ksa,3.869148058567393,D
2028,omnr,omn,sewa,uae,3.4140647611718786,D
2029,sout,ksa,west,ksa,15.307237892165945,D
2029,sout,ksa,cent,ksa,14.958454921971404,D
2029,sout,ksa,east,ksa,61.336049248238275,D
2029,west,ksa,sout,ksa,87.12773196510113,D
2029,west,ksa,cent,ksa,21.089016918031138,D
2029,west,ksa,east,ksa,8526.797764758321,D
2029,cent,ksa,sout,ksa,6.2185874787736655,D
2029,cent,ksa,west,ksa,12.33553543955048,D
2029,cent,ksa,east,ksa,60.905677351705805,D
2029,east,ksa,sout,ksa,3.8602749551949054,D
2029,east,ksa,west,ksa,8603.762183219194,D
2029,east,ksa,cent,ksa,16.526658998559668,D
2029,east,ksa,adwe,uae,0.19173229105418055,D
2029,east,ksa,qatr,qat,1.353902390922145,D
2029,east,ksa,kuwr,kuw,11.358775314082733,D
2029,adwe,uae,east,ksa,11.464108840017014,D
2029,adwe,uae,dewa,uae,70.05243346230625,D
2029,adwe,uae,sewa,uae,38.74000573775804,D
2029,dewa,uae,adwe,uae,40.08122314271686,D
2029,dewa,uae,sewa,uae,13.354411107361813,D
2029,dewa,uae,fewa,uae,9.373146271220783,D
2029,sewa,uae,adwe,uae,36.4005247553807,D
2029,sewa,uae,dewa,uae,9.553558389014364,D
2029,sewa,uae,fewa,uae,13.049185691430502,D
2029,sewa,uae,omnr,omn,0.5999732972220796,D
2029,fewa,uae,dewa,uae,2.585454264685538,D
2029,fewa,uae,sewa,uae,7.249461047528434,D
2029,qatr,qat,east,ksa,10.182637066590326,D
2029,kuwr,kuw,east,ksa,0.32122468588440617,D
2029,bahr,bah,east,ksa,5.840000000003394,D
2029,omnr,omn,sewa,uae,3.205509846367463,D
2030,sout,ksa,west,ksa,17.798225661619956,D
2030,sout,ksa,cent,ksa,18.919400721190115,D
2030,sout,ksa,east,ksa,72.0790372645911,D
2030,west,ksa,sout,ksa,84.50671709925065,D
2030,west,ksa,cent,ksa,20.044172253049922,D
2030,west,ksa,east,ksa,8760.084890472814,D
2030,cent,ksa,sout,ksa,5.105506089491356,D
2030,cent,ksa,west,ksa,5.683203390881888,D
2030,cent,ksa,east,ksa,67.00887325122727,D
2030,east,ksa,sout,ksa,3.058479354293727,D
2030,east,ksa,west,ksa,8852.450842653976,D
2030,east,ksa,cent,ksa,12.338301016413157,D
2030,east,ksa,adwe,uae,0.03825564845975941,D
2030,east,ksa,qatr,qat,1.2647094231934655,D
2030,east,ksa,kuwr,kuw,9.198291195884051,D
2030,adwe,uae,east,ksa,11.615472954653768,D
2030,adwe,uae,dewa,uae,68.02993823881305,D
2030,adwe,uae,sewa,uae,38.312799487442554,D
2030,dewa,uae,adwe,uae,38.51550185835691,D
2030,dewa,uae,sewa,uae,12.802132781776251,D
2030,dewa,uae,fewa,uae,8.454738646924186,D
2030,sewa,uae,adwe,uae,35.8773792016959,D
2030,sewa,uae,dewa,uae,8.649771389696985,D
2030,sewa,uae,fewa,uae,13.000745810764421,D
2030,sewa,uae,omnr,omn,0.5315922517970921,D
2030,fewa,uae,dewa,uae,4.020906691577421,D
2030,fewa,uae,sewa,uae,6.1934477860382415,D
2030,qatr,qat,east,ksa,10.148715685022333,D
2030,kuwr,kuw,east,ksa,2.480373539588435,D
2030,bahr,bah,east,ksa,5.839999999999198,D
2030,omnr,omn,sewa,uae,3.2192388118202246,D
2015,west,ksa,sout,ksa,15.67501287629236,E
2015,east,ksa,cent,ksa,4.88251426770275,E
2015,adwe,uae,dewa,uae,9.348127589774528,E
2015,adwe,uae,sewa,uae,8.49449828064684,E
2015,dewa,uae,adwe,uae,0.9189100300372797,E
2015,dewa,uae,sewa,uae,5.808753368236949,E
2015,dewa,uae,fewa,uae,9.010056859262516,E
2015,sewa,uae,adwe,uae,0.5645832716502336,E
2015,sewa,uae,dewa,uae,4.541006579393505,E
2015,sewa,uae,fewa,uae,5.545124539646228,E
2015,fewa,uae,dewa,uae,1.826222108930475,E
2015,fewa,uae,sewa,uae,2.796900772145607,E
2016,west,ksa,sout,ksa,15.76972706522836,E
2016,west,ksa,cent,ksa,8.77701228171592,E
2016,east,ksa,cent,ksa,5.316766885060006,E
2016,adwe,uae,dewa,uae,9.498851251347455,E
2016,adwe,uae,sewa,uae,8.418399736450288,E
2016,dewa,uae,adwe,uae,0.6893377954975928,E
2016,dewa,uae,sewa,uae,5.885142103071609,E
2016,dewa,uae,fewa,uae,9.283064461461262,E
2016,sewa,uae,adwe,uae,0.4993719327101481,E
2016,sewa,uae,dewa,uae,4.033065994006136,E
2016,sewa,uae,fewa,uae,5.222658761150472,E
2016,fewa,uae,dewa,uae,1.2105886052727104,E
2016,fewa,uae,sewa,uae,2.5296108600681126,E
2017,west,ksa,sout,ksa,18.90356574899806,E
2017,west,ksa,cent,ksa,10.783674610865097,E
2017,east,ksa,cent,ksa,6.4009904224409,E
2017,adwe,uae,dewa,uae,8.670252284662226,E
2017,adwe,uae,sewa,uae,8.660442422668305,E
2017,dewa,uae,adwe,uae,1.7890734389460183,E
2017,dewa,uae,sewa,uae,5.177539199567703,E
2017,dewa,uae,fewa,uae,8.871762073844232,E
2017,sewa,uae,adwe,uae,0.6313870908867681,E
2017,sewa,uae,dewa,uae,4.8187168739988175,E
2017,sewa,uae,fewa,uae,6.460677733114364,E
2017,fewa,uae,dewa,uae,1.565969741821016,E
2017,fewa,uae,sewa,uae,2.141954395381169,E
2018,sout,ksa,cent,ksa,1.3409973335020031,E
2018,west,ksa,sout,ksa,14.280690333554896,E
2018,west,ksa,cent,ksa,10.257715850616199,E
2018,east,ksa,cent,ksa,6.036884471180019,E
2018,adwe,uae,dewa,uae,8.17288365935038,E
2018,adwe,uae,sewa,uae,8.205240711410617,E
2018,dewa,uae,adwe,uae,2.153247595580045,E
2018,dewa,uae,sewa,uae,5.180827738447854,E
2018,dewa,uae,fewa,uae,8.833421580682279,E
2018,sewa,uae,adwe,uae,1.0160703191635874,E
2018,sewa,uae,dewa,uae,4.723016270061605,E
2018,sewa,uae,fewa,uae,6.794718876082095,E
2018,fewa,uae,dewa,uae,1.5192998222148375,E
2018,fewa,uae,sewa,uae,1.8171063514511625,E
2019,sout,ksa,cent,ksa,0.8089200593873724,E
2019,west,ksa,sout,ksa,15.797418174118869,E
2019,west,ksa,cent,ksa,10.205791402665374,E
2019,cent,ksa,sout,ksa,0.6651700498686265,E
2019,east,ksa,cent,ksa,6.428709677415576,E
2019,adwe,uae,dewa,uae,9.67716006251941,E
2019,adwe,uae,sewa,uae,8.443139583548582,E
2019,dewa,uae,adwe,uae,1.466487721959025,E
2019,dewa,uae,sewa,uae,5.485046587118725,E
2019,dewa,uae,fewa,uae,9.390488312528829,E
2019,sewa,uae,adwe,uae,1.2593855016781788,E
2019,sewa,uae,dewa,uae,5.01378237657155,E
2019,sewa,uae,fewa,uae,7.290259449853291,E
2019,fewa,uae,dewa,uae,1.5326395589232926,E
2019,fewa,uae,sewa,uae,1.728853991355099,E
2020,sout,ksa,west,ksa,1.1429455291252644,E
2020,sout,ksa,cent,ksa,2.4754599655655345,E
2020,sout,ksa,east,ksa,0.7053216972438684,E
2020,west,ksa,sout,ksa,23.96732639818528,E
2020,west,ksa,cent,ksa,11.232256246234558,E
2020,west,ksa,east,ksa,2092.0932240604293,E
2020,cent,ksa,sout,ksa,0.8202443327286092,E
2020,cent,ksa,west,ksa,0.5276743470759778,E
2020,cent,ksa,east,ksa,1.5682868139562662,E
2020,east,ksa,sout,ksa,0.6950114864649464,E
2020,east,ksa,west,ksa,2107.457197300487,E
2020,east,ksa,cent,ksa,31.283947017120582,E
2020,adwe,uae,dewa,uae,14.887868158928882,E
2020,adwe,uae,sewa,uae,13.184135216818156,E
2020,dewa,uae,adwe,uae,1.3240926643588617,E
2020,dewa,uae,sewa,uae,3.676573302981735,E
2020,dewa,uae,fewa,uae,9.6432578291582,E
2020,sewa,uae,adwe,uae,1.1327558075227997,E
2020,sewa,uae,dewa,uae,6.943123535693593,E
2020,sewa,uae,fewa,uae,7.789720937466828,E
2020,fewa,uae,dewa,uae,1.4765458445142956,E
2020,fewa,uae,sewa,uae,1.6641856526596386,E
2021,sout,ksa,west,ksa,74.9575257046799,E
2021,sout,ksa,cent,ksa,5.930831040590286,E
2021,sout,ksa,east,ksa,1.8332103187408424,E
2021,west,ksa,sout,ksa,50.48910440636863,E
2021,west,ksa,cent,ksa,1.581394033888155,E
2021,west,ksa,east,ksa,2209.8733930018984,E
2021,cent,ksa,sout,ksa,10.576817216630648,E
2021,cent,ksa,west,ksa,1.5687304350010076,E
2021,cent,ksa,east,ksa,3.7161142336938693,E
2021,east,ksa,sout,ksa,1.8753684598504439,E
2021,east,ksa,west,ksa,2178.6618607138275,E
2021,east,ksa,cent,ksa,46.55533426602182,E
2021,adwe,uae,dewa,uae,6.294958726166889,E
2021,adwe,uae,sewa,uae,2.535667804775168,E
2021,dewa,uae,adwe,uae,2.7241150646980694,E
2021,dewa,uae,sewa,uae,1.5679529335797657,E
2021,dewa,uae,fewa,uae,9.074764306810126,E
2021,sewa,uae,adwe,uae,5.475007502301085,E
2021,sewa,uae,dewa,uae,8.703162168730437,E
2021,sewa,uae,fewa,uae,9.292034538653317,E
2021,fewa,uae,dewa,uae,1.9510604101596711,E
2021,fewa,uae,sewa,uae,0.642462426823733,E
2022,sout,ksa,west,ksa,38.29660971295366,E
2022,sout,ksa,cent,ksa,2.5443490094873096,E
2022,sout,ksa,east,ksa,0.005904506356589642,E
2022,west,ksa,sout,ksa,18.05222119210513,E
2022,west,ksa,cent,ksa,1.3483921802990797,E
2022,west,ksa,east,ksa,2261.5540272599687,E
2022,cent,ksa,sout,ksa,4.950844780659467,E
2022,cent,ksa,west,ksa,0.2376938865483899,E
2022,cent,ksa,east,ksa,5.946682595559921,E
2022,east,ksa,sout,ksa,2.605460084181683,E
2022,east,ksa,west,ksa,2254.36978370492,E
2022,east,ksa,cent,ksa,14.727607244525606,E
2022,adwe,uae,dewa,uae,49.82909342501567,E
2022,adwe,uae,sewa,uae,14.13345761839253,E
2022,dewa,uae,adwe,uae,2.577359607930345,E
2022,dewa,uae,sewa,uae,2.1541171922317313,E
2022,dewa,uae,fewa,uae,3.4031020966363137,E
2022,sewa,uae,adwe,uae,6.328014868922639,E
2022,sewa,uae,dewa,uae,7.038902600808291,E
2022,sewa,uae,fewa,uae,5.946561938831621,E
2022,fewa,uae,dewa,uae,5.58987710544978,E
2022,fewa,uae,sewa,uae,1.6826306864659868,E
2023,sout,ksa,west,ksa,37.09360556706942,E
2023,sout,ksa,cent,ksa,0.8394475327175844,E
2023,west,ksa,sout,ksa,19.224764492071138,E
2023,west,ksa,cent,ksa,0.7921961320505937,E
2023,west,ksa,east,ksa,2514.9757952434334,E
2023,cent,ksa,sout,ksa,3.9786034155368495,E
2023,cent,ksa,west,ksa,0.02872465432620264,E
2023,cent,ksa,east,ksa,3.729982914583151,E
2023,east,ksa,sout,ksa,2.441727667500812,E
2023,east,ksa,west,ksa,2512.457063364721,E
2023,east,ksa,cent,ksa,17.392889588037388,E
2023,adwe,uae,dewa,uae,62.75521561293543,E
2023,adwe,uae,sewa,uae,18.198694417490938,E
2023,dewa,uae,adwe,uae,2.7037079087015004,E
2023,dewa,uae,sewa,uae,3.0524643587956217,E
2023,dewa,uae,fewa,uae,7.226694420531341,E
2023,sewa,uae,adwe,uae,6.205391077940504,E
2023,sewa,uae,dewa,uae,8.148253488861254,E
2023,sewa,uae,fewa,uae,8.84098782788494,E
2023,fewa,uae,dewa,uae,2.6440916122553664,E
2023,fewa,uae,sewa,uae,1.7251422879256668,E
2024,sout,ksa,west,ksa,33.61323470302889,E
2024,sout,ksa,cent,ksa,0.9649057782710566,E
2024,sout,ksa,east,ksa,0.008358641152634289,E
2024,west,ksa,sout,ksa,20.05514497391907,E
2024,west,ksa,cent,ksa,1.5531866531780587,E
2024,west,ksa,east,ksa,2622.565234387821,E
2024,cent,ksa,sout,ksa,3.694300697792567,E
2024,cent,ksa,west,ksa,0.11061184751950401,E
2024,cent,ksa,east,ksa,2.2754724967840163,E
2024,east,ksa,sout,ksa,2.02504973630806,E
2024,east,ksa,west,ksa,2632.7488479767244,E
2024,east,ksa,cent,ksa,20.66747624165682,E
2024,adwe,uae,dewa,uae,56.62763562703076,E
2024,adwe,uae,sewa,uae,18.154540476519013,E
2024,dewa,uae,adwe,uae,1.9106971135667659,E
2024,dewa,uae,sewa,uae,2.381841711610647,E
2024,dewa,uae,fewa,uae,6.927670471528943,E
2024,sewa,uae,adwe,uae,5.118396772148804,E
2024,sewa,uae,dewa,uae,6.639862958529881,E
2024,sewa,uae,fewa,uae,9.896873781129104,E
2024,fewa,uae,dewa,uae,2.602981748217636,E
2024,fewa,uae,sewa,uae,1.8147386505436183,E
2025,sout,ksa,west,ksa,31.07706274283614,E
2025,sout,ksa,cent,ksa,0.7540080764249035,E
2025,sout,ksa,east,ksa,0.004485372957561361,E
2025,west,ksa,sout,ksa,23.042836766080455,E
2025,west,ksa,cent,ksa,1.4580903654843178,E
2025,west,ksa,east,ksa,2652.788678781899,E
2025,cent,ksa,sout,ksa,2.389556628439971,E
2025,cent,ksa,west,ksa,0.03813228303997995,E
2025,cent,ksa,east,ksa,1.7241533400314657,E
2025,east,ksa,sout,ksa,0.9075527380198427,E
2025,east,ksa,west,ksa,2673.3289756326412,E
2025,east,ksa,cent,ksa,23.107230243820585,E
2025,adwe,uae,dewa,uae,58.02441746076088,E
2025,adwe,uae,sewa,uae,23.671315465239125,E
2025,dewa,uae,adwe,uae,2.790180935993833,E
2025,dewa,uae,sewa,uae,1.9098914879125908,E
2025,dewa,uae,fewa,uae,7.289473383693707,E
2025,sewa,uae,adwe,uae,7.011426842438894,E
2025,sewa,uae,dewa,uae,8.569797349099511,E
2025,sewa,uae,fewa,uae,10.086203932540771,E
2025,fewa,uae,dewa,uae,2.465719678862674,E
2025,fewa,uae,sewa,uae,1.6252568468596233,E
2026,sout,ksa,west,ksa,29.932626232285404,E
2026,sout,ksa,cent,ksa,0.7321516297716161,E
2026,west,ksa,sout,ksa,24.02183356495209,E
2026,west,ksa,cent,ksa,1.3085856517956582,E
2026,west,ksa,east,ksa,2688.581615739269,E
2026,cent,ksa,sout,ksa,2.833081139680865,E
2026,cent,ksa,west,ksa,0.0014036860837613795,E
2026,cent,ksa,east,ksa,0.42566200987234165,E
2026,east,ksa,sout,ksa,2.2873390430456677,E
2026,east,ksa,west,ksa,2720.3329597574293,E
2026,east,ksa,cent,ksa,29.695224666625936,E
2026,adwe,uae,dewa,uae,59.7036754080512,E
2026,adwe,uae,sewa,uae,25.412463704991303,E
2026,dewa,uae,adwe,uae,2.7226492080245714,E
2026,dewa,uae,sewa,uae,1.4597040446562537,E
2026,dewa,uae,fewa,uae,6.4670908868625405,E
