c,trun,ELp,value,scenario
ksa,2021,PV,22.148983687285465,G
ksa,2022,CC,0.8932425923328303,G
ksa,2023,CC,2.3253976119710207,G
ksa,2024,CC,3.8253505934017147,G
ksa,2025,CC,3.612179153729107,G
ksa,2026,CC,5.599148989189723,G
ksa,2027,CC,4.431301165068453,G
ksa,2028,CC,4.413119180524268,G
ksa,2029,CC,4.101752556781422,G
ksa,2030,CC,3.9313640588710164,G
uae,2016,CC,0.34,G
uae,2017,GT,0.3747775174502351,G
uae,2017,PV,0.2,G
uae,2018,GT,1.0690318174867444,G
uae,2018,CC,1.24,G
uae,2018,PV,0.2,G
uae,2019,GT,0.3432045172891353,G
uae,2020,GT,0.6784474728192549,G
uae,2020,GTtoCC,0.0703,G
uae,2020,Nuclear,5.6,G
uae,2020,PV,1.7770000000000001,G
uae,2021,CoalSteam,1.8,G
uae,2021,PV,13.53435555208678,G
uae,2022,CC,10.61811903789267,G
uae,2022,PV,0.15,G
uae,2023,CoalSteam,2.4,G
uae,2028,CoalSteam,1.9903540807690715e-08,G
qat,2016,GT,0.0770041077608222,G
qat,2019,GT,1.8085968744547174,G
qat,2020,GT,0.4108192236307941,G
qat,2020,GTtoCC,0.08750000000000001,G
qat,2021,PV,5.8084806681164824,G
qat,2022,CC,1.2084616339104002,G
qat,2027,CC,0.2509113776110137,G
qat,2028,CC,0.0931351593664924,G
qat,2029,CC,0.2055424979777704,G
qat,2030,CC,0.4009668248478955,G
kuw,2019,GT,1.7040600795572143,G
kuw,2020,GT,0.49319280762310236,G
kuw,2021,PV,11.432163964812784,G
kuw,2022,CC,8.502580594287773,G
kuw,2023,CoalSteam,4.677835721736832,G
kuw,2024,CoalSteam,0.6225970179089944,G
kuw,2025,CoalSteam,0.6259583634202335,G
kuw,2026,CoalSteam,0.6227457536810744,G
kuw,2027,CoalSteam,0.7117078612422728,G
kuw,2028,CoalSteam,0.7117077689415342,G
kuw,2029,CoalSteam,0.8006698781749393,G
kuw,2030,CoalSteam,0.7325855442609839,G
bah,2022,CC,0.6224791824269108,G
bah,2023,CC,0.11693091191397828,G
bah,2024,CC,0.11519895631007908,G
bah,2025,CC,0.16833393229227525,G
bah,2026,CC,0.09131076193941128,G
bah,2027,CC,0.13036869748097668,G
bah,2028,CC,0.09670051336357229,G
bah,2029,CC,0.11157596002691937,G
bah,2030,CC,0.09899793787877048,G
omn,2016,CC,0.121,G
omn,2019,CC,3.269,G
omn,2021,GT,0.9161634769246395,G
omn,2021,CC,0.5,G
omn,2021,PV,4.773448108061743,G
omn,2022,CC,2.358782536605169,G
omn,2022,PV,0.042960943192092316,G
omn,2023,CoalSteam,4.234559998851944,G
omn,2024,CoalSteam,0.15183205076443557,G
omn,2025,CoalSteam,0.18203585729700095,G
omn,2026,CoalSteam,0.15181811107619939,G
omn,2027,CoalSteam,0.28456835296505656,G
omn,2028,CoalSteam,0.33020032922389847,G
omn,2029,CoalSteam,0.28573521589655587,G
omn,2030,CoalSteam,0.3088151743929678,G
ksa,2016,Steam,4.38,H
ksa,2016,GT,0.357,H
ksa,2016,CC,3.927,H
ksa,2017,Steam,3.64,H
ksa,2017,GT,0.141,H
ksa,2017,Wind,0.003,H
ksa,2018,Steam,0.392,H
ksa,2018,GT,0.754,H
ksa,2018,CC,2.06,H
ksa,2019,GT,8.633385167156565,H
ksa,2019,CC,1.504,H
ksa,2019,PV,0.31,H
ksa,2020,CC,7.02,H
ksa,2020,GTtoCC,3.586,H
ksa,2020,CSP,0.18,H
ksa,2021,CC,5.4,H
ksa,2021,PV,29.170801436917003,H
ksa,2024,CC,3.1488483506628344,H
ksa,2025,CC,4.0053170695213485,H
ksa,2026,CC,3.248308278715269,H
ksa,2027,CC,4.973557463351308,H
ksa,2028,CC,5.6056937931154724,H
ksa,2029,CC,4.810774793563976,H
ksa,2030,CC,4.748533028083509,H
uae,2016,CC,0.34,H
uae,2017,GT,0.3747775174502351,H
uae,2017,PV,0.2,H
uae,2018,GT,1.0690318174867444,H
uae,2018,CC,1.24,H
uae,2018,PV,0.2,H
uae,2020,GT,0.997725281382226,H
uae,2020,GTtoCC,0.0703,H
uae,2020,Nuclear,5.6,H
uae,2020,PV,1.7770000000000001,H
uae,2021,Steam,1.0254526970512408,H
uae,2021,CoalSteam,1.8,H
uae,2021,PV,15.375402467983596,H
uae,2022,CC,11.790630773963306,H
uae,2022,PV,0.15,H
uae,2023,CC,1.2572524891483454,H
uae,2023,CoalSteam,2.4,H
uae,2024,CC,0.8831750885985117,H
uae,2025,CC,0.9191380588457584,H
uae,2026,CC,0.8408240056735583,H
uae,2027,CC,1.4145799595514614,H
uae,2028,CC,0.8464395988750082,H
uae,2029,CC,0.9250566721429554,H
