trun,c,ELp,value,scenario
2030,uae,PV,0.024200125621596125,A
2030,uae,CSP,0.1478260350383071,A
2030,uae,Cogen,112.12277200437583,A
2030,uae,CCGT,29.758283202742607,A
2030,qat,Steam,0.5996247973976073,A
2030,qat,GT,1.2754333059919296,A
2030,qat,Cogen,48.27373199999999,A
2030,qat,CCGT,28.572724586015553,A
2030,kuw,Cogen,136.7972694055698,A
2030,bah,Steam,8.158652101486789,A
2030,bah,GT,2.8836594923919767,A
2030,bah,Cogen,0.7884000000000008,A
2030,bah,CCGT,17.72557376264726,A
2030,omn,Cogen,19.142114457599188,A
2030,omn,CCGT,41.263709813359604,A
2015,ksa,Steam,153.3053496851834,B
2015,ksa,GT,62.90340765902475,B
2015,ksa,PV,0.04182679928646153,B
2015,ksa,Cogen,45.50759787885174,B
2015,ksa,CCGT,77.83610406504182,B
2015,uae,GT,12.883763808806302,B
2015,uae,PV,0.02771486727326956,B
2015,uae,CSP,0.1171726628325944,B
2015,uae,Cogen,105.54397440360322,B
2015,uae,CCGT,15.651820711955006,B
2015,qat,GT,1.1879727223448595,B
2015,qat,Cogen,36.77160546167288,B
2015,qat,CCGT,5.69294241595485,B
2015,kuw,Cogen,68.62894010554709,B
2015,bah,Steam,1.7214825005615486,B
2015,bah,Cogen,0.7883999999999991,B
2015,bah,CCGT,14.070066539847202,B
2015,omn,Cogen,19.14211445760606,B
2015,omn,CCGT,14.231269117509303,B
2016,ksa,Steam,172.29982459462795,B
2016,ksa,GT,67.95794375543281,B
2016,ksa,PV,0.04145655135811725,B
2016,ksa,Cogen,44.91637557101388,B
2016,ksa,CCGT,77.83610404513539,B
2016,uae,GT,11.982974624635089,B
2016,uae,PV,0.027474125633548594,B
2016,uae,CSP,0.11507617293559191,B
2016,uae,Cogen,112.90154928001168,B
2016,uae,CCGT,15.301717588205578,B
2016,qat,GT,1.2674017304224832,B
2016,qat,Cogen,39.03700710720001,B
2016,qat,CCGT,5.549096533966465,B
2016,kuw,Cogen,71.5723448116149,B
2016,bah,Steam,2.4596192506123886,B
2016,bah,Cogen,0.7883999999999999,B
2016,bah,CCGT,14.293139887286538,B
2016,omn,Cogen,19.142114457600037,B
2016,omn,CCGT,16.23367213202225,B
2017,ksa,Steam,160.74211226488265,B
2017,ksa,GT,53.60460633737656,B
2017,ksa,PV,0.04108960472000853,B
2017,ksa,Cogen,58.268147332115014,B
2017,ksa,CCGT,108.28056430269017,B
2017,uae,GT,12.949648973902695,B
2017,uae,PV,0.027218244566703253,B
2017,uae,CSP,0.11732608619906523,B
2017,uae,Cogen,115.91942724000188,B
2017,uae,CCGT,17.15368756875059,B
2017,qat,GT,1.245427747796263,B
2017,qat,Cogen,41.57226179622253,B
2017,qat,CCGT,5.247809907116036,B
2017,kuw,Cogen,74.3011098272836,B
2017,bah,Steam,2.9896973841897094,B
2017,bah,Cogen,0.7883999999999999,B
2017,bah,CCGT,14.403868485369344,B
2017,omn,Cogen,19.142114457599877,B
2017,omn,CCGT,17.568607475026894,B
2018,ksa,Steam,186.2990966707508,B
2018,ksa,GT,38.65970314469163,B
2018,ksa,PV,0.04072592977676888,B
2018,ksa,Cogen,66.1171418703227,B
2018,ksa,CCGT,108.28056419101394,B
2018,uae,GT,17.88381930458797,B
2018,uae,PV,0.02697328036538185,B
2018,uae,CSP,0.12191833977283248,B
2018,uae,Cogen,115.91942723994063,B
2018,uae,CCGT,18.269995717644534,B
2018,qat,GT,1.212466773856963,B
2018,qat,Cogen,45.25968031676344,B
2018,qat,CCGT,4.843578834535604,B
2018,kuw,Cogen,78.36675885622188,B
2018,bah,Steam,3.519775517767058,B
2018,bah,Cogen,0.7883999999999993,B
2018,bah,CCGT,14.514597083452148,B
2018,omn,Cogen,19.142114457598655,B
2018,omn,CCGT,18.903542818032903,B
2019,ksa,Steam,205.6752632882351,B
2019,ksa,GT,45.981360826103426,B
2019,ksa,PV,0.040365497250522075,B
2019,ksa,Cogen,58.58102231005191,B
2019,ksa,CCGT,110.13565540657146,B
2019,uae,GT,17.876328803432042,B
2019,uae,PV,0.02673052084217734,B
